P08144037A0000|0 10|Thioredoxin
P08918464A0225|127 129|STK
P10747099A0507|127 129|Crk
P10794405A0000|127 128|H1
P08406419A0155|127 128|MA
P03568311A1361|127 127|r
P09334330A0252|128 132|daf-3
P01386897A0000|128 131|CLN2
P02158927A0000|128 131|RAD7
P10611320A0816|128 131|Cdk7
P08044802A0462|128 130|p53
P02775136A1151|128 130|AMS
P09564860A2315|128 130|GGH
P10492127A0914|128 130|min
P11564871A1184|128 130|TBP
P09366517A0835|128 130|WT1
P08853303A0431|128 130|min
P07899634A0000|128 129|mu
P06795654A0434|128 129|FR
P01395755A1023|128 128|p
P10750524A0724|128 128|p
P10457075A1198|128 128|P
P09011744A0790|129 134|Grin2d
P11207308A0999|129 133|STAT1
P10036191A0000|129 132|Mitf
P07963782A0000|129 132|pain
P07543868A0414|129 132|poly
P08455623A0630|129 132|GAR1
P11113179A0541|129 131|CBP
P11106428A0635|129 131|Ser
P06230499A0128|129 130|Gy
P11580757A0304|129 130|MR
P02926499A0340|129 130|Cb
P01589576A0170|129 130|T2
P02137704A0000|129 129|h
P08893779A0229|129 129|p
P08410097A0356|129 129|p
P11223186A1095|129 129|s
P01895370A0199|129 129|D
P02592640A0466|129 129|g
P06735247A0803|129 129|p
P10933728A1398|130 133|CBF2
P02052544A0641|130 133|DPB2
P07670943A0308|130 132|CAD
P03198525A0164|130 132|MGA
P09763470A1756|130 132|Sp1
P08585994A0567|130 132|arm
P09013499A0198|130 132|min
P00753237A0000|130 130|B
P07528531A0904|130 130|P
P11509266A0955|130 130|P
P08396749A1112b|130 130|P
P03149774A0173|130 130|h
P08396749A1112a|130 130|P
P11369700A0074|130 130|H
P00474064A0205|130 130|R
P08552042A1497|130 130|A
P03076124A0496|131 139|reductase
P10196248A0482|131 137|stretch
P11000250A0200|131 134|CD40
P10221820A0902|131 133|AMT
P09271394A0558|131 133|TIR
P03398823A0459|131 133|min
P04024685A0650|131 132|cm
P09858581A0183|131 132|Ts
P02386485A0554|131 131|A
P11849417A0900|131 131|P
P10567430A0785|131 131|s
P06467797A0233|131 131|P
P07830112A0532|131 131|p
P07872788A1717|132 148|carboxylesterases
P10395908A0236|132 140|G-protein
P10721704X0000|132 137|Elavl1
P07791768A0930|132 135|SIR1
P07616569A0168|132 135|nad1
P08995410A1109|132 134|p47
P09046090T0000|132 134|arm
P09663062A0175|132 133|MP
P11069791A0226|132 133|mo
P09733794A1323|132 133|Tg
P10826946A1198|132 132|H
P10442493A0815|132 132|p
P02361812A1110|132 132|D
P01548891A0635|132 132|P
P07214665A0000|132 132|P
P11246887A0000|133 136|PLTP
P09649438A0182|133 135|Tat
P10358138A0672|133 135|SAP
P01546522A0000|133 135|man
P08454077A0956|133 134|PI
P02735364A1330|133 133|p
P09017443A0734|133 133|p
P10360454A0916|133 133|p
P08552095A0758|134 137|PAF1
P09519757A0482|134 137|SUR1
P06089575A0464|134 136|min
P08542026A0792|134 136|RCA
P08532536A0925|134 136|EGF
P07927838A0000|134 136|VWF
P02971710A0734|134 135|CO
P02603923A0220|134 135|ml
P11345445A0533|134 135|Cu
P02024791A0582|134 134|P
P07543868A0414|134 134|A
P04024685A0650|134 134|p
P09380504A1255|134 134|h
P08385337A0282|135 139|bZIP2
P10501965A0879|135 139|Gpr31
P00866577A0579|135 138|term
P02936284A0357|135 137|min
P07534297A0141|135 137|CAT
P08816507A1125|135 137|YY1
P07890485A0827|135 136|ml
P10502402A0129|135 135|T
P03602261A0238|135 135|r
P03061301A1409|135 135|p
P10998679A0500|136 139|pain
P10861906A0999|136 139|IME1
P10704196A1051|136 139|side
P02740627A0137|136 139|PAO2
P00722298A0619|136 138|rho
P08872671A0573|136 138|air
P08794339A1162|136 138|CBP
P07826625X0000|136 138|CTD
P02427797A0199|136 138|min
P09786926A0095|136 138|FAS
P08088777A0754|136 137|Hc
P02752651A0480|136 137|Th
P10333481A1102|136 137|nt
P09209312A0968|136 137|nt
P07683375A0000|136 137|ER
P02485188A0415|136 136|p
P00377466A0188|136 136|T
P03034956A0666|136 136|P
P10655164A0546|136 136|H
P10446149A0809|137 140|Rin1
P08454077A0956|137 139|min
P11323411A0505|137 139|Tyr
P10860846A0480|137 139|AP2
P02529378A0536|137 139|SP1
P00139827A0000|137 138|ml
P08742135A0000|137 138|CS
P10521796A0872|137 138|IM
P01636714A0845|137 137|h
P06341139A0213|137 137|g
P10471721A0141|137 137|s
P07408970A0706|137 137|p
P10320177A0487|138 140|min
P07580330A0331|138 140|DDT
P00947327A0000|138 140|SMZ
P08688556A0242|138 140|Chc
P01612085A0624|138 138|P
P07640422A0649|138 138|p
P08739209A0700|138 138|h
P10688663A0207|139 144|TFIIIA
P09736697A1107|139 143|Stat3
P08049444A0351|139 143|SATB1
P08387662A0302|139 142|pain
P06167806A0000|139 141|dog
P08088777A0754|139 141|Gsn
P11024300A1579|139 141|ARC
P10544089A1208|139 140|MP
P01589576A0170|139 140|ps
P01452703A0782|139 140|ml
P10872851A0714|139 139|P
P02926499A0340|139 139|c
P08639310A0548|139 139|h
P01648142A1170|139 139|P
P08533757A0204|140 144|BRCA1
P07616569A0168|140 144|nad4L
P08589735A0577|140 143|Act1
P08030704A1503|140 143|term
P09755191A0553|140 143|CHC1
P11410664A0963|140 143|step
P09339900A0939|140 142|Sp1
P10403839A1459|140 142|Ahr
P11311687A0231|140 142|RLS
P07528531A0904|140 142|CRP
P01486836A0774|140 141|T2
P07745693A0914|140 140|s
P01748194A0767|140 140|N
P08995410A0000|140 140|S
P07007591A0324|140 140|t
P09736239A0436|140 140|p
P08515619A0184|141 144|COPD
P09638650A0169|141 144|ORF1
P09892736A0343|141 144|ORC1
P11564871A1184|141 144|Pols
P09374082A0504|141 143|PGD
P11059786A0682|141 142|PI
P06671047A1124|141 142|LD
P01708098A0922|141 142|GR
P11323411A0505|141 141|P
P08098914A0400|141 141|P
P11005831A0242|142 146|AREB3
P10675331A0600|142 146|Stat3
P09531549A0658|142 146|actin
P02758382A0478|142 145|SHBG
P09230129A0039|142 145|lack
P08878573A1370|142 144|ATO
P00420460A0291|142 142|r
P11730182A0984|142 142|r
P10863048A0000|142 142|s
P11102458A0000|142 142|d
P10513922A1237|142 142|p
P09649501A0358|143 147|HSBP1
P09130700A0676|143 146|TUB4
P02341669A0000|143 145|MLS
P09209312A0968|143 144|nt
P09420269A0000|143 144|nt
P01418834A0987|143 143|P
P11283168A0738|143 143|d
P09252406A0511|144 154|phosphatase
P07563090A0124|144 147|PPT1
P09423968A0039|144 147|pain
P09171969A1165|144 147|COPD
P01499616A0136|144 146|tip
P10506143A0610|144 146|EGF
P08731222A0000|144 145|Cu
P03114188A0907|144 145|Gy
P07528531A0904|144 145|rs
P07113897A0285|144 144|p
P11917061A0922|144 144|P
P09272138A1153|144 144|P
P07592072A0217|144 144|d
P11730182A0984|144 144|p
P11314428A0651|144 144|P
P07937656A0182|144 144|p
P01285807A0365|144 144|P
P02187091A0721|144 144|P
P08104189A1168|145 150|ATPase
P11029704A0378|145 148|ABI3
P07563994A0488|145 146|ml
P09111309A0674|145 146|ER
P08916960A1331|145 145|t
P09135928A0912|145 145|P
P02113699A0372|145 145|N
P00378735A0000|145 145|g
P01321337A0318|145 145|B
P07964624A0491|145 145|r
P03929486A0309|145 145|D
P09182990A0245|146 149|eRF1
P02926499A0340|146 148|tau
P04036838A0918|146 146|r
P08789441A0339|146 146|t
P01903404A0688|146 146|p
P03198525A0164|146 146|d
P08065331A0279|146 146|t
P02107073A0584|147 151|STE18
P08474439A0877|147 150|MEF1
P10715325A0834|147 150|EIN2
P10022032A0000|147 149|ATN
P01597170A0000|147 149|air
P11196199T0000|147 149|p53
P10454568A0815|147 149|EGF
P02975680A0000|147 149|GAD
P08643513A0361|147 148|nt
P03282813A0794|147 147|r
P10834781A0693|147 147|P
P07624615A0267|147 147|H
P01423738A0639|147 147|h
P01093845A0208|148 152|dream
P03911702A0530|148 151|pigs
P10691972T0000|148 151|MRP3
P07181985A0107|148 150|min
P09331864A0230|148 150|MGA
P07836364A0000|148 150|APC
P10544089A1208|148 149|CR
P10655164A0546|148 148|p
P09130700A0676|149 153|SPC98
P10778740A1493|149 152|HIS3
P03871298A0217|149 151|CAD
P08763207A0402|149 151|CPE
P01452037A0000|149 151|TIM
P09046013A0000|149 151|min
P07608968A0836|149 151|TBP
P10608053A0923|149 149|p
P09151152A0174|149 149|p
P09315632A1137|150 154|FGFR3
P07927838A0000|150 153|pain
P10835355A0225|150 153|SSA3
P08400928A0318|150 152|arm
P02466414A0000|150 151|ml
P00420460A0291|150 150|P
P09736239A0436|150 150|p
P09105042A1497|151 156|myosin
P10469174A0678|151 154|MBF1
P08075070A1632|151 153|HTH
P11037823A1134|151 153|CHL
P09716183A1036|151 153|TBP
P09618150A0127|151 151|h
P02149566A0478|151 151|P
P01774063A0161|152 155|Fshb
P08604338A0885|152 155|step
P11560992A0651|152 155|MKK4
P02727909A0383|152 154|HLP
P02248732A1113|152 153|NA
P01316680A0643|152 152|H
P06341139A0213|152 152|g
P07528531A0904|152 152|P
P01156631A0658|152 152|P
P01963419A0501|152 152|p
P08611280A0820|152 152|p
P01352113A0231|153 155|min
P11441952A0414|153 153|b
P07026328A0369|153 153|p
P01761736A0158|153 153|P
P11538437A0568|153 153|A
P07500386A0870|154 157|IRA1
P09533030T0000|154 157|SDHC
P08810278A0682|154 157|CRKL
P08733123A0000|154 156|arm
P08769566A0000|154 156|ZD1
P09583823A0238|154 155|Ho
P06702643A0000|154 155|SA
P04036838A0918|154 154|p
P07559233A0534|154 154|P
P09135928A0912|154 154|P
P08896402A0587|154 154|N
P08666404A0311|155 159|PPP5C
P08627719A0784|155 158|poly
P09287352A0930|155 157|Cys
P06467797A0233|155 156|rs
P08766049A0000|155 156|ml
P01168956A0552|155 155|h
P09565584A0770|155 155|H
P02113699A0372|155 155|N
P08267667A0748|155 155|d
P01722319A0849|155 155|N
P11160656A0000|156 159|lack
P09252406A0511|156 159|SHP2
P10721698A1195|156 159|CSTB
P10861906A0999|156 159|IME2
P07504171A0715|156 158|Src
P09442080A0856|156 158|GHR
P09227799A0254|156 158|SEA
P03023887A0470|156 157|Sa
P10196248A0482|156 157|nt
P00015731A0090|156 156|p
P09151152A0174|156 156|p
P10731411A0958|156 156|A
P08893779A0229|156 156|p
P09064659A1055|157 160|UPF1
P06594105A0560|157 159|dog
P03940426A0618|157 159|fir
P00096241A0087|157 157|P
P10065684A0916|157 157|p
P10029337A0406|157 157|U
P10407184A0520|157 157|h
P07172690A0547|158 160|SPR
P10703633A0747|158 160|min
P04066194A0163|158 160|ear
P02339447A0162|158 158|A
P03602261A0238|158 158|r
P01312005A0600|158 158|A
P01569344A0404|158 158|P
P06520418A0325|158 158|p
P10628750A0298|159 161|Rel
P02332018A0538|159 159|P
P11314428A0651|159 159|P
P10943891A1062|159 159|s
P07453919A0000|160 167|esterase
P01968224A0119|160 163|PCNA
P10601344A1653|160 163|Rac1
P07687541A0200|160 163|poly
P10887912A0740|160 163|side
P08454077A0956|160 162|min
P09111004A0732|160 162|L12
P03659994A0150|160 161|T2
P03878585A0507|160 160|r
P08950352A0525|160 160|p
P08627719A0784|160 160|A
P11730182A0984|160 160|r
P09165035A0842|160 160|D
P07704040A0000|161 169|reductase
P02926499A0340|161 165|decay
P07656588A0101|161 164|FUT1
P10592791A0370|161 164|lack
P02949170A0184|161 164|SHBG
P03001110A0546|161 163|mol
P11250942A0626|161 163|VDR
P11221845A1713|161 163|mlt
P09287352A0930|161 163|Ser
P03146017A0983|161 163|mol
P11292839A0531|161 163|TBP
P10521796A0872|161 162|IM
P10614857A0584|161 161|P
P09142146A0887|161 161|p
P10501965A0879|162 170|G-protein
P11069756A2618|162 165|GPCR
P09716179A0974|162 165|cdc2
P07863047A0229|162 164|ACE
P09727046A0000|162 164|Lam
P10617126A1005|162 164|CA1
P10063739A0601|162 164|EVL
P03090237A0202|162 164|key
P04024685A0650|162 163|ml
P11266184A0000|162 163|SE
P11730182A0984|162 162|p
P11844812A0915|162 162|P
P00474064A0205|162 162|R
P09060971A0982|162 162|p
P01774063A0161|163 165|Ltk
P08987225A0675|163 165|ACT
P09192998A0356|163 165|PTH
P01406656A1075|163 165|ras
P10523640A0367|164 168|Stat3
P11368363A0129|164 167|HBP1
P02763467A0903|164 167|spot
P09736715A0729|164 166|ILK
P03146784A0158|164 166|PSR
P09490676A0800|164 166|Myb
P07563994A0488|164 165|ml
P06467797A0233|164 164|P
P07440430A1074|164 164|P
P01901859A0000|165 167|man
P10216161A1530|165 166|bd
P03228785A1047|165 165|p
P07687541A0200|165 165|A
P10400757A1498|166 170|CXCR4
P07883167A0157|166 170|decay
P08264582A0750|166 169|LIFR
P00909114A0000|166 167|sc
P02875224A1059|166 166|p
P07192722A0682|166 166|p
P09863624A2301|167 169|min
P07563994A0488|167 167|p
P07830112A0532|167 167|p
P10645921A1320|167 167|P
P08663127A0697|167 167|N
P09694869A0932|168 172|Stat3
P02162103A0000|168 171|poly
P09533030T0000|168 171|SDHD
P10617126A1005|168 170|CA3
P08223613A0519|169 172|TPS3
P08901135A1132|169 172|NIT2
P06388818A0000|169 171|HDC
P02485188A0415|169 169|p
P03282813A0794|169 169|p
P09430461A0742|169 169|r
P11241166A0677|170 174|SOCS3
P11564871A1184|170 173|lack
P11114294A0075|170 173|CFTR
P07592946A0997|170 172|Sp1
P10544089A1208|170 171|MP
P07926775A0895|170 171|hh
P01141114A0188|170 170|H
P09440166A0857|171 174|poly
P00918965A0728|171 174|PAO2
P11391793A0856|171 173|PAC
P02137704A0000|171 171|h
P03436877A0950|171 171|r
P10918164A0878|171 171|P
P02748188A0091|171 171|t
P08838314A0129|172 177|AVPR1A
P09553686A0000|172 176|patch
P07914192A0844|172 175|HER2
P07616569A0168|172 175|atp9
P11323411A0505|172 174|Tyr
P08400928A0318|172 174|arm
P01923766A0485|172 173|nt
P08706368A1024|172 172|p
P10839470A1148|172 172|p
P02361812A1110|172 172|P
P10493876A0000|172 172|g
P10601344A1653|173 177|Cdc42
P02419327A0998|173 176|side
P10652362A0933|173 176|CFTR
P09372924A0758|173 175|XPC
P09294422A1376|173 175|POR
P02162103A0000|173 173|A
P02601707A0986|173 173|A
P02814820A0967|173 173|p
P07870305A1015|173 173|P
P11538437A0568|173 173|N
P10367646A0569|173 173|P
P09335619A0583|174 177|atp9
P08686381A0527|174 176|BCR
P10683244A0939|174 174|R
P07247059A0775|174 174|s
P08396713A0305|175 178|ARNT
P09914500A0000|175 177|TNF
P02926499A0340|175 177|rho
P02999267A0885|175 176|GS
P11450490A0565|175 175|P
P03929486A0309|175 175|P
P09834070A0793|176 179|CD19
P09736697A1107|176 179|Jak2
P11416012A2511|176 178|min
P06319040A1627|176 178|dog
P11333268A1521|176 178|Sos
P08986214A0000|176 178|HGF
P04024685A0650|176 177|ml
P08766049A0000|176 177|ml
P03110692A0156|176 176|P
P11323411A0505|176 176|P
P08167555A0972|176 176|p
P09440166A0857|176 176|A
P01637758A0532|176 176|P
P09430461A0742|176 176|p
P11376007A0584|177 180|PP2A
P08195216A1022|177 180|TRP3
P09647240A0000|177 179|p53
P09057648A0422|177 179|CAT
P11117263A0570|177 178|MA
P11049241A0659|177 177|p
P08278929A0866|177 177|P
P08639561T0000|177 177|R
P11730182A0984|177 177|r
P07823953A0777|178 181|mask
P02123467A0811|178 180|Sp1
P09334475A0327|178 180|min
P08086450A0467|178 180|Sp1
P08598449A0784|178 180|vav
P03001110A0546|178 180|mol
P08486276A0419|178 179|Cm
P02233715A0914|178 179|GR
P09750325A0000|178 179|H7
P03736081A0465|178 178|p
P10624787A0432|178 178|P
P03436877A0950|178 178|P
P04024685A0650|179 179|p
P02748188A0091|179 179|P
P09533109A0449|179 179|p
P11730182A0984|179 179|p
P08940132A1120|180 187|protease
P10521509A0000|180 183|RGS7
P11114294A0075|180 183|CFTR
P09414074A0827|180 182|SSP
P01779433A0694|180 182|Alu
P11059777A0813|180 180|L
P08639561T0000|180 180|S
P03602261A0238|180 180|r
P10648619A0000|181 184|lack
P10099247A1051|181 182|MB
P09863624A0629|182 185|CRF1
P08086450A0467|182 185|AP-2
P07588633A0362|182 184|Mos
P07644127A0000|182 183|SI
P02582918A0000|182 183|T2
P03259437A0140|182 182|p
P09618150A0127|182 182|h
P10614857A0584|182 182|P
P09804779A1163|183 188|Stat5a
P09211913A0000|183 188|CYP1A1
P10506143A0610|183 187|MEKK1
P10567430A0785|183 186|GRK5
P09211981A0526|183 186|cdc2
P08454077A0956|183 185|min
P08861955A0927|183 185|Ran
P01658375A0854|183 184|GC
P09880029A0703|183 184|C3
P11538437A0568|183 183|B
P08460918A0252|184 211|gamma-glutamyltranspeptidase
P10703633A0747|184 186|min
P11007954A0170|184 186|Sos
P10480937A0000|184 185|Li
P08639561T0000|184 184|R
P10521509A0000|185 188|RGS9
P11207308A0999|185 188|JAK1
P10559364A0846|185 187|SSB
P10542269A0000|185 187|APP
P01395755A1023|185 185|p
P10065684A0916|185 185|L
P09524222A0769|186 191|MARCKS
P11278583A0873|186 189|Grb2
P11278604A0300|186 188|Gal
P10913304A1180|186 188|ERF
P09613574A0905|186 188|min
P11139605A0811|186 188|Sp1
P09502627A0705|186 186|p
P10065684A0916|187 189|sar
P08894144A0330|187 188|sc
P11069791A0226|187 188|mo
P04056256A0416|187 187|p
P03335651A0000|188 189|T2
P06711642A0093|188 189|gm
P11517399A0858|188 188|T
P07937106A0100|188 188|B
P02370571A0663|188 188|s
P10567430A0785|189 192|GRK6
P10779313A1842|189 190|AR
P06479976A0386|189 189|P
P07937656A0182|189 189|p
P08267667A0748|189 189|p
P09736697A1107|190 194|Stat3
P11207308A0999|190 193|JAK2
P11292839A0531|190 192|TBP
P07510635A0479|190 192|Pol
P08992115A0199|190 192|air
P03929486A0309|190 191|SR
P10939785A0540|190 190|s
P08483479A1056|191 193|PTH
P07816619A0872|191 193|Dr1
P09305755A0540|191 193|AP1
P11409425A0000|191 193|Apo
P00015731A0090|191 191|p
P06435565A0648|191 191|p
P08627649A0734|192 194|Sp1
P11309389A0273|192 194|GHR
P10493876A0000|192 192|B
P10521509A0000|193 197|RGS11
P10548622A0906|193 196|pain
P07623844A0639|193 195|p53
P07528746A1049|193 195|Tyr
P09254678A0106|194 196|MBP
P10493876A0000|194 194|g
P02969316A0002|194 194|h
P11207308A0999|195 198|JAK3
P09305755A0540|195 197|AP2
P01674662A0000|195 197|ARC
P10407184A0520|195 197|URE
P11387950X0001|195 197|TNF
P02592640A0466|195 195|g
P08611280A0820|195 195|p
P02702849A0418|195 195|p
P09804836A0000|195 195|P
P06198532A0982|196 198|RHD
P07616569A0168|197 200|rrn5
P07510635A0479|197 199|Pol
P07528746A1049|197 197|P
P08627649A0734|198 200|Sp3
P06993660A0000|198 200|AHR
P09677410A1059|198 200|p53
P08512728A0991|198 198|p
P09949160A0600|199 201|Epo
P02183467A0668|199 199|W
P07007591A0324|199 199|t
P11194101A0532|199 199|P
P08891131A0000|200 203|pigs
P10797125A0000|200 202|min
P11887803A1455|200 200|p
P08986214A0000|201 203|AFP
P09778006A0718|201 202|cm
P09334475A0327|201 201|h
P11730182A0984|201 201|r
P02926499A0340|201 201|c
P09435056A0128|202 204|MBP
P07616569A0168|202 204|srn
P11867388A0502|202 202|P
P08680702A0548|202 202|p
P01452703A0782|203 204|ml
P08337841A0612|203 203|A
P10614857A0584|203 203|P
P08454077A0956|203 203|p
P11730182A0984|203 203|p
P11561626A0197|204 206|Cd2
P10727433A0560|204 206|ras
P09121998A0663|204 206|min
P10229084A0000|204 206|Fyn
P09778006A0718|204 204|s
P02113699A0372|204 204|N
P11118438A0411|205 208|Pin1
P07636648A1229|205 205|p
P10624787A0432|205 205|P
P10703633A0747|205 205|p
P07563090A0124|206 209|PPT2
P11238105A0959|206 209|CD86
P04024685A0650|206 207|ml
P07007591A0324|206 206|t
P02354381A0207|206 206|N
P02466414A0000|207 209|mol
P10549354A1782|207 209|APC
P01721884A0962|207 209|Pol
P08288633A0144|207 209|Bcr
P10367646A0569|207 207|P
P08006773A0836|207 207|p
P11226752A0750|208 213|Notch1
P07789971A0758|208 212|GSTT2
P08853303A0431|208 210|min
P09165035A0842|208 208|D
P09599897A0000|209 211|CRP
P09800187A0100|210 214|Trp53
P01380454A0451|210 212|Myb
P07905413A0585|211 211|P
P09331864A0230|212 214|MGA
P08893779A0229|212 212|p
P07007591A0324|212 212|t
P08719155A0105|213 216|TRAP
P11108720A0124|213 216|S6K2
P01287197A0761|213 214|po
P08952965A1182|214 217|CDR1
P10493876A0000|214 214|N
P07887226A0858|215 217|IDA
P07590264A0373|216 219|poly
P10692374A1873|216 218|PAN
P11538437A0568|216 216|B
P09872832A1262|216 216|p
P10430883A0000|217 219|Con
P08124785A0445|217 217|P
P09053494A0612|217 217|P
P08668158A0765|218 221|RPM1
P07528746A1049|218 221|RHL1
P11538437A0568|218 218|A
P04024685A0650|219 220|ml
P11410664A0963|220 223|MGMT
P07592946A0997|220 222|Myb
P09773975A1873|220 222|min
P02775136A1151|220 222|AMS
P00513284A0000|220 221|ml
P11730182A0984|220 220|r
P02166040A0385|221 238|phosphotransferase
P11226752A0750|221 224|DTX1
P08952965A1182|221 224|CDR2
P09822602A0237|221 223|CBP
P07590264A0373|221 221|A
P09060971A0982|221 221|p
P09382924A0131|222 226|PSMB6
P11861092A0730|222 224|HGS
P04024685A0650|222 222|p
P07007591A0324|222 222|t
P11730182A0984|222 222|p
P01721884A0962|222 222|P
P11486476A0147|223 225|ACS
P10416558A0000|223 223|N
P08853303A0431|225 227|min
P08418183A0000|226 226|H
P02975680A0000|227 229|GAD
P09382924A0131|228 232|PSMB5
P08894144A0330|228 229|sc
P02838246A0225|228 228|P
P11191208A0000|229 232|PDR1
P07592946A0997|229 231|p53
P08680702A0548|229 229|p
P07830112A0532|229 229|p
P09703021A0000|230 233|step
P01384229A0175|230 232|CAT
P08304342A0605|232 236|HLA-A
P10552357A1936|232 234|AIR
P08820642A0173|236 237|HR
P09880029A0703|236 237|C6
P09705324A1602|236 237|AR
P10592824A1157|236 236|P
P09382924A0131|237 241|PSMB7
P10026824A0309|237 238|Gs
P09759691A1051|237 237|L
P06314312A0359|237 237|P
P07937656A0182|237 237|p
P10628971A1165|238 242|INP53
P09098066A0119|238 240|crl
P07733075A1200|238 239|wk
P02966671A0551|238 238|h
P02166040A0385|240 242|neo
P07649098A0676|240 241|nt
P11730182A0984|240 240|r
P01448917A0775|241 248|helicase
P08231398A0802|242 244|CD4
P01395755A1023|242 242|p
P11730182A0984|242 242|p
P10400712A0577|242 242|L
P06966678A0523|242 242|r
P06668316A0178|243 245|min
P10797125A0000|243 245|min
P07113897A0285|243 243|p
P02743842A0000|244 244|H
P08006773A0836|244 244|p
P07616569A0168|245 248|rps3
P10464310A0218|245 247|Crk
P09773975A1873|247 249|min
P02607766A0000|247 248|Hg
P08418183A0000|247 247|W
P09794795A0183|248 252|STAT1
P09398855A0438|248 250|p53
P11191365A0682|248 248|P
P11127200A1024|249 251|PTH
P02999267A0885|249 250|GS
P10407184A0520|249 250|rh
P04024685A0650|249 250|ml
P01721884A0962|249 249|D
P09175858A1449|250 254|GAPDH
P07616569A0168|250 254|rps11
P03602261A0238|251 251|r
P10318806A0918|252 254|Crk
P09111340A0240|252 254|CAT
P07683375A0000|252 253|ER
P08915508A0000|253 260|protease
P08418183A0000|253 253|H
P08067546A0000|254 256|dog
P09331864A0230|255 257|MGA
P03736081A0465|255 255|p
P07616569A0168|256 260|rps12
P08598449A0784|256 258|CA2
P08418183A0000|256 256|W
P06327039A0743|256 256|r
P03597218A0901|256 256|P
P08267667A0748|258 258|p
P08896804A0000|258 258|P
P08411276A0302|258 258|A
P09334475A0327|259 259|h
P09502627A0705|259 259|p
P11730182A0984|260 260|r
P08411276A0302|260 260|B
P04024685A0650|261 262|ml
P08418183A0000|261 261|H
P08719155A0105|262 263|CS
P11730182A0984|262 262|p
P09407026A0426|263 267|nuc-1
P07616569A0168|264 268|rpl16
P07898840X0000|264 266|FGR
P04024685A0650|264 264|p
P08418183A0000|264 264|W
P08067123A0248|264 264|p
P06327039A0743|264 264|p
P07937656A0182|265 265|p
P06966678A0523|267 267|r
P07534306A0444|268 268|L
P10065684A0916|268 268|p
P11561626A0197|269 271|air
P08732665A0000|270 272|EGF
P10965905A1618|270 270|s
P02586513A0622|271 273|Ser
P11730182A0984|271 271|P
P09504423A0114|272 279|protease
P01372802A1481|272 273|C3
P10773455A1268|273 277|ALAS2
P07007591A0324|273 275|CPZ
P03878585A0507|273 273|r
P08418183A0000|273 273|H
P07453919A0000|274 277|pain
P09773975A1873|274 276|min
P10407184A0520|275 277|URE
P01372802A1481|275 275|D
P03602261A0238|275 275|r
P02485188A0415|275 275|p
P08418183A0000|276 276|W
P10493876A0000|278 278|B
P09400613A0594|279 282|HIS3
P10493876A0000|280 280|g
P08615025A1214|286 288|CD4
P08454077A0956|287 287|p
P11416393A0000|287 287|g
P06966678A0523|291 291|r
P11029704A0378|295 298|ABI3
P11278583A0873|298 300|Sos
P03602261A0238|300 300|r
P09773975A1873|301 303|min
P10647859A0000|302 302|P
P07937656A0182|303 303|p
P09099745A1446|305 308|Cdk2
P09794795A0183|319 322|SHP2
P01372802A1481|321 322|C3
P00753237A0000|322 322|D
P08680702A0548|323 323|p
P08267667A0748|327 327|p
P07453919A0000|330 333|side
P11194183A0866|330 330|P
P10592791A0370|336 339|lack
P08615025A1214|342 344|CD4
P08680702A0548|350 350|p
P01913955A0177|354 361|collagen
P03736081A0465|354 354|p
P02703925A0359|355 356|LW
P02743842A0000|363 365|min
P02607766A0000|364 365|Hg
P10493876A0000|367 367|B
P10493876A0000|369 369|g
P01913955A0177|381 388|collagen
P11069756A2618|382 384|PKL
P10493876A0000|394 394|d
P08267667A0748|401 401|p
P11069756A2618|407 410|POR1
P11738404A0120|435 436|MS
P03830147A0000|446 448|min
P09115395A0478|447 450|Sox3
P09115395A0478|452 456|Vent2
P10493876A0000|455 455|B
P10493876A0000|457 457|g
P00753237A0000|485 487|fig
